Date_reported,Cumulative_cases,Cumulative_deaths
1,05-24,330890,21048
2,05-25,347398,22013
3,05-26,363211,22666
4,05-27,374898,23473
5,05-28,391222,24512
6,05-29,411821,25598
7,05-30,438238,26754
8,05-31,465166,27878
9,06-01,498440,28834
10,06-02,514849,29314
11,06-03,526447,29937
12,06-04,555383,31199
13,06-05,584016,32548
14,06-06,614941,34021
15,06-07,645771,35026
16,06-08,672846,35930
17,06-09,691758,36455
18,06-10,707412,37134
19,06-11,739503,38406
20,06-12,772416,39680
21,06-13,802828,40919
