Area,temp1,temp2,temp3,temp4,temp4
Cerrado,37,35,37.5,33.5,34.5
Cerrado,36,36,35,35,36
Cerrado,36,36,35,34,34
Cerrado,38,38,34,33,31
Cerrado,35,35,34,34,34
Cerrado,36.5,36.5,35.5,34.5,34
Cerrado,36.5,36,35,34,33
Cerrado,34,33,33,32.5,32
Cerrado,35,35,33.5,31.5,32
Cerrado,34.5,35,34.5,34.5,34.5
Floresta,31,31,31,30,28
Floresta,35,35,32.5,31,29
Floresta,33,33,31,30,28.5
Floresta,34,32.5,32,31,29.5
Floresta,34,32,31.5,30,29
Floresta,34,33.5,33,30.5,30
Floresta,33,32,31,30,29.5
Floresta,34,32,31,29,28
Floresta,30.5,29.5,29,28,27.5
Floresta,33,32,31,30,29
